id,created_at,updated_at,link_foto,link_video,nombre,tipo,descripcion,contenidos_ofensivos,contenidos_defensivos,consignas,reglas,variantes
83,2026-07-31 16:07:10.447012+00,2026-07-31 16:50:18.430538+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p34_Dinamica_10_vs_10_CENTRAL.jpg,,Dinámica 10 vs 10 CENTRAL,abierta,El equipo de 10 jugadores intentará progresar y finalizar la jugada en los arcos pequeños. Equipo que defiende debe priorizar tapar o cerrar líneas de pase. El juego en espacios reducidos hace que encontrar al jugador y espacio libre sea determinante para progresar.,"[""Mirar lejos."",""Encontrar al hombre libre."",""Tercer hombre."",""Atraer al rival."",""Separarse / No montarse.""]","[""Check para presionar."",""Mantener distancias al defender."",""Defender profundidad."",""Compensar.""]","[""Ofensivamente estar en amplitud, utilizando todos los pasillos."",""Buscar el pasillo libre."",""Generar conexiones dentro-afuera."",""Defensivamente marcar en rombo."",""Saltar a presionar desde el pasillo que corresponde."",""Defender profundidad.""]",,"[""Tapar o cerrar líneas de pase.""]"
84,2026-07-31 16:08:12.968533+00,2026-07-31 16:51:43.603008+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p35_Dinamica_10_vs_10_CENTRAL_2_.jpg,,Dinámica 10 vs 10 CENTRAL (portales),abierta,El equipo de 10 jugadores intentará progresar y finalizar la jugada pasando por los portales. Equipo que defiende debe priorizar defender profundidad y rupturas rivales. El juego en espacios reducidos hace que encontrar al jugador y espacio libre sea determinante.,"[""Mirar lejos."",""Encontrar al hombre libre."",""Tercer hombre."",""Atraer al rival."",""Separarse / No montarse.""]","[""Check para presionar."",""Mantener distancias al defender."",""Defender profundidad."",""Compensar.""]","[""Ofensivamente estar en amplitud, utilizando todos los pasillos."",""Buscar el pasillo libre."",""Generar conexiones dentro-afuera."",""Defensivamente marcar en rombo."",""Saltar a presionar desde el pasillo que corresponde."",""Defender profundidad.""]",,"[""Defender profundidad.""]"
85,2026-07-31 16:08:12.968533+00,2026-07-31 16:51:43.603008+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p36_Dinamica_10_vs_10_CENTRAL_3_.jpg,,Dinámica 10 vs 10 CENTRAL (arcos grandes),abierta,El equipo de 10 jugadores intentará progresar y finalizar la jugada en los arcos grandes. Equipo que defiende debe priorizar defender profundidad y rupturas rivales y posteriormente evitar que el rival finalice en el arco grande.,"[""Mirar lejos."",""Encontrar al hombre libre."",""Tercer hombre."",""Atraer al rival."",""Separarse / No montarse.""]","[""Check para presionar."",""Mantener distancias al defender."",""Defender profundidad."",""Compensar.""]","[""Ofensivamente estar en amplitud, utilizando todos los pasillos."",""Buscar el pasillo libre."",""Generar conexiones dentro-afuera."",""Defensivamente marcar en rombo."",""Saltar a presionar desde el pasillo que corresponde."",""Defender profundidad.""]",,"[""Defender profundidad y finalizar la jugada.""]"
86,2026-07-31 16:08:12.968533+00,2026-07-31 16:50:31.379608+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p37_Dinamica_Entrada_centrales.jpg,,Dinámica Entrada centrales,abierta,"Dinámica diseñada para los defensas centrales quienes se ubican en lo amplio de la estructura. Se posicionan 2 líneas de defensores centrales más un volante para que los centrales entren a jugar en conducción por el portal cuando no tengan rival, para asociarse con el central de la otra línea ante la presión rival.","[""Mirar lejos."",""Continuidad."",""Estar en línea de pase."",""Pase al pie correcto."",""Check antes de recibir.""]","[""1 vs 2 (marcar 2)."",""Presión posperdida.""]","[""Atraer al rival."",""Entrar en conducción."",""Estar perfilado para recibir.""]",,"[""No hay límites de toques."",""Solo pondera las veces que entren en conducción por los portales.""]"
87,2026-07-31 16:08:12.968533+00,2026-07-31 16:50:34.971194+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p38_Dinamica_Reducido_Profundo.jpg,,Dinámica Reducido Profundo,abierta,Se enfrentan 2 equipos de 6 o 7 jugadores + 1 Comodín + Arquero. El equipo en posesión intentará llegar a espacios con desmarques y rupturas hacia las áreas para finalizar en las porterías. El comodín se ubica en el centro para generar superioridad numérica.,"[""Atacar profundidad."",""Mantener 3 líneas."",""Aparecer / no estar."",""No montarse.""]","[""Check para presionar."",""Mantener distancia."",""Defender profundidad."",""Pasos para adelante.""]","[""Ofensivamente estar en estructura 3+C+3 (profundo)."",""Utilizar al comodín para generar superioridad numérica y posicional."",""Defensivamente marcar en rombo."",""Saltar a presionar desde el pasillo que corresponde."",""Generar desmarques y rupturas al área."",""No marcar al hombre / Marca zonal.""]",,"[""Siempre se inicia desde el arquero."",""No hay limites de toques.""]"
88,2026-07-31 16:08:12.968533+00,2026-07-31 16:50:28.556684+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p39_Dinamica_Pasillo_Central_6_vs_5.jpg,,Dinámica Pasillo Central 6 vs 5,abierta,"En una estructura de 3 zonas + 2 áreas, un equipo intentará progresar hasta llegar al arco contrario llevando el balón de una zona a otra. El equipo que inicia defendiendo, al recuperar el balón, podrá atacar inmediatamente el arco rival.","[""Mirar lejos."",""Mantener 3 líneas."",""Tercer hombre."",""Entrar en conducción."",""Conectar continuamente entre jugadores de primera, segunda y tercera línea.""]","[""Mantener distancia."",""Check para presionar."",""Presión posperdida.""]","[""Conectar continuamente entre líneas para poder progresar."",""Generar línea de pase."",""Desmarcar en el momento correcto.""]",,"[""El balón inicia con el arquero."",""Los jugadores inician desde sus zonas pero con el juego pueden ocupar otros espacios.""]"
89,2026-07-31 16:08:12.968533+00,2026-07-31 16:50:30.207694+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p40_Dinamica_Pasillo_Central_6_vs_5_extremos.jpg,,Dinámica Pasillo Central 6 vs 5 extremos,abierta,"En una estructura de 3 zonas + 2 áreas, un equipo intentará progresar hasta llegar al arco contrario. El equipo que inicia defendiendo, al recuperar el balón, podrá atacar inmediatamente transicionando con sus extremos ubicados en mayor amplitud.","[""Mirar lejos."",""Mantener 3 líneas."",""Tercer hombre."",""Entrar en conducción."",""Conectar continuamente entre jugadores de primera, segunda y tercera línea.""]","[""Mantener distancia."",""Check para presionar."",""Presión posperdida.""]","[""Conectar continuamente entre líneas para poder progresar."",""Generar línea de pase."",""Desmarcar en el momento correcto.""]",,"[""El balón inicia con el arquero."",""Los jugadores inician desde sus zonas pero pueden ocupar otros espacios.""]"
90,2026-07-31 16:08:12.968533+00,2026-07-31 16:50:45.695938+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p41_Dinamica_LUIS_ENRIQUE.jpg,,Dinámica LUIS ENRIQUE,abierta,"El equipo de 10 jugadores intentará salir jugando en superioridad numérica para llegar al gol. El equipo de 9 jugadores, en inferioridad, debe defender posicionado y reagrupado en su mitad, manteniendo distancias para defender y reducir espacios. Al recuperar podrán atacar los arcos pequeños inmediatamente.","[""Mantener 3 líneas."",""No montarse."",""Saltar pase."",""Continuidad."",""Desmarques cortos y atacar profundidad.""]","[""Coordinación línea defensiva."",""Mantener distancia."",""Defender profundidad."",""Pasos hacia adelante."",""Compensar.""]","[""Ofensivamente estar en amplitud, utilizando todos los pasillos."",""Defensivamente estar en estructura 4-4-1 and marcar en rombo."",""Saltar a presionar desde el pasillo que corresponde."",""Utilizar superioridad.""]",,"[""Inicia el equipo en superioridad numérica, siempre desde su portero."",""No hay limites de toques."",""Existe fuera de juego."",""Se puede reducir a 9 vs 8.""]"
91,2026-07-31 16:08:12.968533+00,2026-07-31 16:50:12.668341+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p42_Linea_Defensiva_Dinamica.jpg,,Línea Defensiva Dinámica,abierta,El trabajo está dividido por dos zonas. En cada zona se realiza un 6 vs 5 + A. El equipo que ataca intentará terminar en gol mientras que el equipo defensor debe evitar el gol. Ante la pérdida de balón el equipo que ataca debe realizar una presión pospérdida.,"[""Encarar 1 vs 1."",""Encontrar hombre libre."",""Separarse."",""Atacar profundidad.""]","[""Coordinación línea defensiva."",""Pasos hacia adelante / Achicar."",""Defender profundidad."",""Compensar.""]","[""Estar alineados."",""Achicar espacios cuando el balón se juega hacia atrás."",""Estar perfilados en relación al balón para evitar pases por dentro."",""Defender en L cuando balón va hacia bandas / Defender carriles."",""Estar preparados y correr para atrás defendiendo profundidad.""]",,"[""Utilizar 1-2 delanteros en posición fuera de juego."",""Agregar un volante más para defender y uno para atacar.""]"
92,2026-07-31 16:08:12.968533+00,2026-07-31 16:50:34.452975+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p43_Dinamica_Progresion_defensiva.jpg,,Dinámica Progresión defensiva,abierta,"Se enfrentan 2 equipos, el que defiende lo realiza en inferioridad de -1 jugador. El equipo deberá atacar la profundidad rival buscando finalizar la jugada. El equipo que defiende deberá salir reduciendo espacios rápidamente, buscar defender lejos de su arco y retroceder perfilado rompiendo en la zona establecida.","[""Atacar profundidad."",""Finalizar la jugada.""]","[""Saber retroceder."",""Mantener distancia."",""Defender profundidad.""]","[""Reducir espacios."",""Retardar y retroceder."",""Romper en zona."",""Defender perfilado."",""Aprovechar superioridad (equipo atacante).""]",,"[""Siempre se inicia desde el arquero con balón largo hacia mitad de cancha."",""Evolución del trabajo: 2vs1, 3vs2, 4vs3, 5vs4 y terminar 6vs5."",""Incluir arcos para que equipo atacante finalice en su retroceso a la zona inicial.""]"
93,2026-07-31 16:08:12.968533+00,2026-07-31 16:50:20.029545+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p44_Dinamica_Trayectoria.jpg,,Dinámica Trayectoria,abierta,"Dinámica diseñada para defender el balón largo y capturar el 2do balón. Se posiciona una línea defensiva más un volante central y un centro delantero para generar 3 líneas. El equipo defensor retrocede con la trayectoria del balón, mantiene distancias para capturar el 2do balón y busca finalizar utilizando sus jugadores profundos.","[""Encontrar al jugador libre."",""Separarse."",""Continuidad."",""Jugar con los profundos.""]","[""Compensar."",""Responsabilidad en zonas."",""Cobertura al duelo aéreo (1-3).""]","[""Ofensivamente dar pasos hacia adelante."",""Saltar pase."",""Utilizar a los profundos."",""Defensivamente mantener distancias."",""Defensivamente ganar el 1er y 2do balón.""]",,"[""Inicios en largo con el arquero."",""Retroceder con la trayectoria del balón.""]"
94,2026-07-31 16:08:52.955379+00,2026-07-31 16:50:18.965284+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p45_Dinamica_Ancelotti.jpg,,Dinámica Ancelotti,abierta,"En una superficie participan 2 equipos, 9 vs 9 posicionados de igual manera. El equipo con posesión debe buscar gol mediante sus 2 jugadores profundos o juntar 8 pases, provocando que el equipo defensor presione y reduzca dejando espacio a su espalda.","[""Mirar lejos."",""Continuidad."",""Tercer hombre."",""Estar en línea de pase."",""Pase al pie correcto.""]","[""Check para presionar."",""Presión posperdida.""]","[""Saltar pase si es posible."",""No montarse."",""Estar perfilado para recibir.""]",,"[""No hay límites de toques."",""Después de dar 8 pases se contabiliza un gol."",""Después de 3 balones interceptados realizar cambio de rol.""]"
95,2026-07-31 16:08:52.955379+00,2026-07-31 16:50:39.109281+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p46_Dinamica_Transiciones_largas.jpg,,Dinámica Transiciones largas,abierta,"Se enfrentan 2 equipos, el que defiende en inferioridad de -1 jugador. Un equipo inicia buscando atacar la profundidad rival generando un 3vs2. El equipo que defiende sale reduciendo espacios rápidamente. Una vez finaliza la acción, el equipo que defendía pasa a atacar sumando 2 jugadores, generando un 4vs3.","[""Atacar profundidad."",""Finalizar la jugada.""]","[""Saber retroceder."",""Mantener distancia."",""Defender profundidad.""]","[""Reducir espacios."",""Retardar y retroceder."",""Romper en zona."",""Defender perfilado."",""Aprovechar superioridad (equipo atacante).""]",,"[""No hay límites de toques."",""Evolución del trabajo 3vs2 para luego 4vs3.""]"
96,2026-07-31 16:08:52.955379+00,2026-07-31 16:50:19.504748+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p48_Dinamica_Linea_defensiva.jpg,,Dinámica Línea defensiva,partido,"Se utiliza 1 arquero + la línea defensiva (incluyendo un volante). El equipo que ataca moverá el balón para que el equipo que defiende realice distintos comportamientos coordinados: Defender en L, Carril + marca, Repliegues, achiques, basculaciones, ajustes defensivos.","[""Atacar profundidad.""]","[""Coordinación línea defensiva."",""Pasos hacia adelante."",""Defender profundidad."",""Compensar.""]","[""Estar alineados."",""Achicar espacios cuando el balón se juega hacia atrás."",""Estar perfilados en relación al balón, evitar pases por dentro y poder identificar tu marca."",""Defender en L cuando balón va hacia bandas."",""Estar preparados y correr para atrás defendiendo profundidad.""]",,"[""Iniciar con balón desde distintas zonas y situaciones."",""Utilizar 1-2 delanteros en posición fuera de juego."",""Incluir una oposición más real con situaciones que la línea defensiva tenga que ir resolviendo.""]"
97,2026-07-31 16:08:52.955379+00,2026-07-31 16:50:32.141192+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p49_Dinamica_Salidas_cortas_6_vs_5_A.jpg,,Dinámica Salidas cortas 6 vs 5 + A,partido,"Un equipo comenzará haciendo salidas con el Arquero, 2 centrales, 2 laterales y 2 volantes vs 5 jugadores presionando. El equipo en salida intentará llegar a los espacios determinados o pasar por los arcos pequeños para finalizar acción. Si el equipo que defiende recupera, podrán atacar la portería grande inmediatamente.","[""Mirar lejos."",""Entrar en conducción."",""Encontrar al hombre libre."",""Tercer hombre."",""Atraer al rival.""]","[""Check para presionar."",""Ser protagonista."",""Mantener distancias.""]","[""Realizar cuadrados en salida."",""Encontrar espacios a la espalda del rival."",""Jugar al lado contrario.""]",,"[""Se inicia con el arquero o central según disposición del rival."",""Cambiar la forma de presionar de los que defienden."",""Variantes: Salida corta 6 vs 5 + Transiciones y Salida corta 6 vs 5 + Transiciones + Achique.""]"
98,2026-07-31 16:08:52.955379+00,2026-07-31 16:50:33.245164+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p50_Dinamica_Salidas_cortas_6_vs_5_A_Transicion.jpg,,Dinámica Salidas cortas 6 vs 5 + A + Transición,partido,"Igual que la salida corta 6 vs 5, pero las acciones se reinician con 3 jugadores más del equipo que defendía, generando un 8vs6 y una transición al momento de defender o atacar el arco.","[""Mirar lejos."",""Entrar en conducción."",""Encontrar al hombre libre."",""Tercer hombre."",""Atraer al rival.""]","[""Check para presionar."",""Ser protagonista."",""Mantener distancias.""]","[""Realizar cuadrados en salida."",""Encontrar espacios a la espalda del rival."",""Jugar al lado contrario.""]",,"[""Se inicia con el arquero o central según disposición del rival."",""Se reinicia con equipo desde arcos pequeños con el que defendía inicialmente."",""Cambiar la forma de presionar de los que defienden.""]"
99,2026-07-31 16:08:52.955379+00,2026-07-31 16:50:44.524093+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p51_Dinamica_Salidas_cortas_7_vs_6_A.jpg,,Dinámica Salidas cortas 7 vs 6 + A,partido,"Un equipo comenzará haciendo salidas con el Arquero, 3 centrales, 2 laterales-volantes y 2 volantes centrales vs 6 jugadores presionando. El equipo en salida intentará llegar a los espacios determinados o pasar por las mini porterías. Si el equipo que defiende recupera, podrán atacar la portería grande inmediatamente.","[""Mirar lejos."",""Entrar en conducción."",""Encontrar al hombre libre."",""Tercer hombre."",""Atraer al rival.""]","[""Check para presionar."",""Ser protagonista."",""Mantener distancias.""]","[""Realizar cuadrados en salida."",""Encontrar espacios a la espalda del rival."",""Jugar al lado contrario.""]",,"[""Se inicia con el arquero o central según disposición del rival."",""Cambiar la forma de presionar de los que defienden.""]"
100,2026-07-31 16:08:52.955379+00,2026-07-31 16:50:17.89057+00,https://nqdbqqmjyygopjnpqyvm.supabase.co/storage/v1/object/public/dinamicas/p52_Dinamica_Salidas_largas_11_vs_11.jpg,,Dinámica Salidas largas 11 vs 11,partido,Un equipo comenzará realizando salidas mientras el otro equipo estará listo para presionar y recuperar. El equipo en salida debe contar la cantidad de jugadores en la última línea para decidir qué salida hacer en función del posicionamiento del rival y los espacios disponibles.,"[""Mirar tercera línea."",""Entrar en conducción."",""Encontrar al hombre libre."",""Tercer hombre."",""Atraer al rival.""]","[""Check para presionar."",""Ser protagonista."",""Mantener distancias.""]","[""Contar jugadores de última línea para saber qué salida realizar."",""Realizar cuadrados en salida."",""Encontrar espacios a la espalda del rival."",""Atacar profundo si hay espacio.""]",,"[""Se inicia con el arquero o central según disposición del rival."",""Cambiar la forma de presionar de los que defienden.""]"
